"TRFL.action","SCIN.action","ANVI.action","PAAN.action","SEPA.action","SOPI.action","NEWSPS.action","weeded.initial","fertilized.initial","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome","diversity.desirability"
0,0,1,0,0,0,0,"Sprayed","Ambient",5,3,2,8,5,12,83,1.09276349794467
0,0,1,0,0,0,0,"Unsprayed","Ambient",12,0,0,4,0,10,93.1,0.745748743123426
0,0,1,0,0,0,0,"Sprayed","Fertilized",5,0,0,0,0,4,101.5,0.338243258038739
0,0,1,0,0,0,0,"Unsprayed","Fertilized",0,0,0,0,0,0,117,0
1,1,0,1,1,1,0,"Sprayed","Ambient",0,8,18,2,30,8,72,1.32841359320685
1,1,0,1,1,1,0,"Unsprayed","Ambient",2,1,20,0,5,7,64,1.06847320596513
1,1,0,1,1,1,0,"Sprayed","Fertilized",0,1,35,8,45,7,62,1.37983408719522
1,1,0,1,1,1,0,"Unsprayed","Fertilized",0,0,6,0,0,0,124,0.187030827760252
0,0,0,0,0,0,0,"Sprayed","Ambient",8,0,0,0,0,0,94,0.274921422433104
0,0,0,0,0,0,0,"Unsprayed","Ambient",2,0,0,0,0,0,166,0.0645814363776275
0,0,0,0,0,0,0,"Sprayed","Fertilized",0,0,0,3,0,0,127.5,0.109452358162667
0,0,0,0,0,0,0,"Unsprayed","Fertilized",4,0,0,10,0,0,115.5,0.407219301332538
0,0,0,1,0,0,0,"Sprayed","Ambient",11,17,0,8,0,3,121,0.857901939818912
0,0,0,1,0,0,0,"Unsprayed","Ambient",35,1,6,4,2,6,60.5,1.23769542410179
0,0,0,1,0,0,0,"Sprayed","Fertilized",0,2,0,7,0,0,166,0.229942326656695
0,0,0,1,0,0,0,"Unsprayed","Fertilized",0,0,0,0,0,0,134,0
1,1,1,0,1,1,0,"Sprayed","Ambient",6,3,30,0,20,0,84,1.12937909386022
1,1,1,0,1,1,0,"Unsprayed","Ambient",4,0,25,0,0,0,151,0.506143915194443
1,1,1,0,1,1,0,"Sprayed","Fertilized",0,0,21,0,6,0,136,0.536654541495945
1,1,1,0,1,1,0,"Unsprayed","Fertilized",0,0,0,0,0,0,157,0
0,1,0,0,0,0,0,"Sprayed","Ambient",0,0,50,0,0,0,173,0.532191519803065
0,1,0,0,0,0,0,"Unsprayed","Ambient",8,0,50,0,0,0,94,0.817917414673735
0,1,0,0,0,0,0,"Sprayed","Fertilized",4,0,45,0,0,0,92,0.744153233834511
0,1,0,0,0,0,0,"Unsprayed","Fertilized",0,0,10,0,0,0,100,0.304636097349238
1,0,1,1,1,1,0,"Sprayed","Ambient",35,1,0,0,35,4,54.5,1.21641076538894
1,0,1,1,1,1,0,"Unsprayed","Ambient",12,0,0,0,0,3,92,0.475452519022915
1,0,1,1,1,1,0,"Sprayed","Fertilized",0,1,0,0,0,0,131,0.0445379124397735
1,0,1,1,1,1,0,"Unsprayed","Fertilized",0,0,0,0,0,4,134.5,0.130830165225846
0,0,0,0,1,0,0,"Sprayed","Ambient",15,0,0,1,0,4,97,0.57488423073074
0,0,0,0,1,0,0,"Unsprayed","Ambient",15,3,0,0,10,0,78,0.826026553600123
0,0,0,0,1,0,0,"Sprayed","Fertilized",0,0,0,2,0,4,123,0.217718237567821
0,0,0,0,1,0,0,"Unsprayed","Fertilized",6,0,0,0,0,0,128,0.182836586539872
1,1,1,1,0,1,0,"Sprayed","Ambient",0,1,10,0,45,4,108,0.924315092834806
